trip_index,station1,station2,distance,duration,node0,node1,node2
604,1728,1092,17.56,37.65,0,2,1
605,1728,1765,16.57,35.7,0,2,1
606,1728,1753,16.19,31.56,0,1,2
607,1728,349,15.6,31.8,0,2,1
608,1728,1093,16.7,34.61,0,2,1
609,1728,1808,18.33,40,0,2,1
610,1728,1738,17.57,37.31,0,2,1
611,1728,1752,16.9,31.94,0,2,1
612,1728,1757,21.07,45.3,0,2,1
613,1728,1756,17.25,33.07,0,1,2
614,1728,1055,18.1,38.55,0,2,1
615,1728,1754,18.78,40.03,0,2,1
616,1728,1764,18.49,34.47,0,1,2
617,1728,1799,19.2,40.09,0,2,1
618,1728,1770,20.08,41.64,0,2,1
619,1728,1766,21.37,44.56,0,2,1
620,1728,1725,22.44,45.19,0,2,1
621,1728,1747,22.72,45.88,0,2,1
622,1728,1815,42.81,52.73,0,2,1
623,1728,1722,27.17,50.06,0,1,2
624,1728,1807,26.89,47.14,0,2,1
625,1728,1822,44.64,51.12,0,1,2
626,1728,1859,44.94,54.05,0,2,1
627,1728,1819,59.36,55.15,0,1,2
628,1728,1820,61.86,59.96,0,1,2
629,1728,1860,49.58,57.93,0,1,2
630,1728,1864,39.48,60.97,0,2,1
631,1728,1865,38.27,57.61,0,2,1
632,1728,1870,38.06,57.1,0,2,1
633,1728,1871,41.78,62.27,0,2,1
634,1728,1866,39.8,61.27,0,2,1
635,1728,1874,44.35,63.54,0,2,1
