,start_station_name,end_station_name,count
617,Causewayside,Royal Commonwealth Pool,4
618,Causewayside,Simon Square,2
619,Causewayside,St Andrew Square,1
620,Causewayside,St Andrews House,2
621,Causewayside,Stockbridge,1
622,Causewayside,Surgeons Hall,9
623,Causewayside,Thirlestane Road,7
624,Causewayside,Tollcross,12
625,Causewayside,Victoria Quay,2
626,Causewayside,Warrender Park Road,1
627,Causewayside,Waverley Bridge,3
628,Causewayside,Waverley Court,6
629,Causewayside,West Crosscauseway,8
630,Chambers Street,Abbeyhill,9
631,Chambers Street,Belford Road,1
632,Chambers Street,Bristo Square,3
633,Chambers Street,Brunswick Place,4
634,Chambers Street,Bruntsfield Links,5
635,Chambers Street,Canonmills,2
636,Chambers Street,Castle Street,7
637,Chambers Street,Castle Terrace,4
638,Chambers Street,Causewayside,2
639,Chambers Street,Chambers Street,6
640,Chambers Street,Charlotte Square,4
641,Chambers Street,Drumsheugh Place,1
642,Chambers Street,Duke Street,5
643,Chambers Street,Dundas Street,2
644,Chambers Street,Dundee Terrace,6
645,Chambers Street,Dynamic Earth,4
646,Chambers Street,Edinburgh Royal Infirmary,2
647,Chambers Street,Fountainbridge,4
648,Chambers Street,Gladstone Terrace,1
649,Chambers Street,Gorgie Road,6
650,Chambers Street,Grassmarket,7
651,Chambers Street,Haymarket Station,2
652,Chambers Street,Haymarket Terrace,1
653,Chambers Street,Hillside Crescent,3
654,Chambers Street,Holyrood Road,1
655,Chambers Street,Hunter Square,3
656,Chambers Street,Kings Building 2,9
657,Chambers Street,Kings Building 3,1
658,Chambers Street,Kings Buildings - Murchison House,1
659,Chambers Street,Kings Buildings 1,1
660,Chambers Street,Leith Walk,6
661,Chambers Street,Leith Walk North,1
662,Chambers Street,Logie Green Road,5
663,Chambers Street,Lothian Road,4
664,Chambers Street,McDonald Road,3
665,Chambers Street,Meadow Place,8
666,Chambers Street,Meadows East,9
667,Chambers Street,Morningside Road,2
668,Chambers Street,Musselburgh Lidl,1
669,Chambers Street,Picardy Place,3
670,Chambers Street,Pollock Halls,5
671,Chambers Street,Portobello - Kings Road,1
672,Chambers Street,Royal Edinburgh Hospital,1
673,Chambers Street,Scotland Street,5
674,Chambers Street,Sighthill - Edinburgh College,1
675,Chambers Street,St Andrew Square,7
676,Chambers Street,St Andrews House,1
677,Chambers Street,Stockbridge,2
678,Chambers Street,Surgeons Hall,1
679,Chambers Street,Thirlestane Road,1
680,Chambers Street,Tollcross,2
681,Chambers Street,Waitrose Comely Bank,1
682,Chambers Street,Warrender Park Road,3
683,Chambers Street,Waverley Bridge,2
684,Charlotte Square,Abbeyhill,5
685,Charlotte Square,Balgreen Road,1
686,Charlotte Square,Belford Road,2
687,Charlotte Square,Boroughmuir,5
688,Charlotte Square,Bristo Square,2
689,Charlotte Square,Brunswick Place,6
690,Charlotte Square,Bruntsfield Links,1
691,Charlotte Square,Canonmills,5
692,Charlotte Square,Castle Street,10
693,Charlotte Square,Causewayside,8
694,Charlotte Square,Charlotte Square,23
695,Charlotte Square,City Chambers,1
696,Charlotte Square,Colinton Road,4
697,Charlotte Square,Comely Bank Road,7
698,Charlotte Square,Corstorphine Road,2
699,Charlotte Square,Cramond Foreshore,3
700,Charlotte Square,Dalry Road Lidl,6
701,Charlotte Square,Dean Street,4
702,Charlotte Square,Drumsheugh Place,9
703,Charlotte Square,Duke Street,5
704,Charlotte Square,Dundas Street,5
705,Charlotte Square,Dundee Terrace,15
706,Charlotte Square,Dynamic Earth,3
707,Charlotte Square,EICC,2
708,Charlotte Square,East London Street,3
