,start_station_id,end_station_id,start_station_name,end_station_name,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,count
2820,1729,1824,McDonald Road,Duke Street,55.9640310527501,-3.1851753729504253,55.96901164826488,-3.16739470303429,16
4100,1818,1728,Dynamic Earth,Portobello - Kings Road,55.95108946523637,-3.17572460948655,55.957915406923476,-3.118332042090288,16
4107,1818,1814,Dynamic Earth,Abbeyhill,55.95108946523637,-3.17572460948655,55.95524788917224,-3.1722162800950704,16
973,264,1096,Pollock Halls,West Crosscauseway,55.94008064125911,-3.171746866852459,55.9438359841253,-3.1849514084976818,15
4327,1824,1800,Duke Street,Joppa,55.96901164826488,-3.16739470303429,55.94894930668582,-3.094727261654725,15
319,247,1726,Charlotte Square,Simon Square,55.95233546161639,-3.2071011721072864,55.94485886752089,-3.182589723460069,15
886,260,1767,Lauriston Place,Bruntsfield Links,55.94477165233547,-3.197265856419562,55.9371232399911,-3.206431879393449,15
3246,1752,258,IGMM - Western General,Stockbridge,55.96264210870907,-3.231915547243944,55.958565585897226,-3.2080701822277438,15
4359,1865,1869,Dalmeny Station,Hopetoun Road,55.986761326113175,-3.382426853781425,55.990182146207864,-3.4046039242787174,15
4208,1821,1821,Drumsheugh Place,Drumsheugh Place,55.95159412232485,-3.2123542850940225,55.95159412232485,-3.2123542850940225,15
3899,1807,1722,Gamekeeper's Road,Cramond Foreshore,55.96944274609889,-3.3072587984723745,55.98003076740317,-3.3006417888325363,15
301,247,1025,Charlotte Square,Dundee Terrace,55.95233546161639,-3.2071011721072864,55.93970989541296,-3.2205889336679547,15
3023,1743,262,Logie Green Road,Canonmills,55.964058329676064,-3.195700361124864,55.96280408759764,-3.196283585062929,15
1849,1050,1765,EICC,Haymarket Terrace,55.94607055533778,-3.2103963310007657,55.946063966641006,-3.2230240243595745,15
2769,1728,1818,Portobello - Kings Road,Dynamic Earth,55.957915406923476,-3.118332042090288,55.95108946523637,-3.17572460948655,15
103,183,1728,Waverley Bridge,Portobello - Kings Road,55.95198075619354,-3.191890332557904,55.957915406923476,-3.118332042090288,15
439,249,265,Fountainbridge,Meadows East,55.94335692764551,-3.2092475016246453,55.939809466328285,-3.182738850746431,15
